Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
100000,-36.48,83.75,50.1,1.03,1.5,50.2,1.7
293857,-37.89,58.06,50.7,1.03,1.1,50.7,1.2
487714,-38.01,51.03,50.8,1.03,1.0,50.8,1.1
681571,-38.12,49.62,50.8,1.03,1.0,50.8,1.1
875428,-38.18,48.56,50.8,1.02,0.9,50.8,1.1
1069285,-38.18,46.98,50.8,1.02,0.9,50.8,1.0
1263142,-38.24,49.27,50.8,1.02,0.9,50.8,1.1
1456999,-38.24,49.97,50.8,1.02,1.0,50.8,1.1
1650856,-38.30,49.27,50.8,1.02,0.9,50.8,1.1
1844713,-38.30,48.39,50.8,1.02,0.9,50.8,1.0
2038570,-38.30,49.09,50.8,1.02,0.9,50.8,1.1
2232427,-38.30,47.51,50.8,1.02,0.9,50.8,1.0
2426284,-38.30,47.16,50.8,1.02,0.9,50.8,1.0
2620141,-38.30,46.80,50.8,1.02,0.9,50.8,1.0
2813998,-38.36,46.28,50.8,1.02,0.9,50.8,1.0
3007855,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
3201712,-38.36,45.75,50.8,1.02,0.9,50.9,1.0
3395569,-38.36,46.10,50.8,1.02,0.9,50.8,1.0
3589426,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
3783283,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
3977140,-38.36,45.22,50.9,1.02,0.9,50.9,1.0
4170997,-38.36,45.75,50.8,1.02,0.9,50.9,1.0
4364854,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
4558711,-38.36,45.22,50.9,1.02,0.9,50.9,1.0
4752568,-38.36,45.40,50.8,1.02,0.9,50.9,1.0
4946425,-38.36,45.40,50.8,1.02,0.9,50.9,1.0
5140282,-38.36,44.87,50.9,1.02,0.9,50.9,1.0
5334139,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
5527996,-38.36,44.52,50.9,1.02,0.9,50.9,1.0
5721853,-38.36,44.87,50.9,1.02,0.9,50.9,1.0
5915710,-38.36,46.10,50.8,1.02,0.9,50.8,1.0
6109567,-38.36,46.63,50.8,1.02,0.9,50.8,1.0
6303424,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
6497281,-38.36,44.34,50.9,1.02,0.9,50.9,1.0
6691138,-38.36,45.22,50.9,1.02,0.9,50.9,1.0
6884995,-38.36,45.75,50.8,1.02,0.9,50.9,1.0
7078852,-38.36,45.22,50.9,1.02,0.9,50.9,1.0
7272709,-38.36,45.57,50.8,1.02,0.9,50.9,1.0
7466566,-38.36,45.40,50.8,1.02,0.9,50.9,1.0
7660423,-38.36,45.22,50.9,1.02,0.9,50.9,1.0
7854280,-38.36,45.04,50.9,1.02,0.9,50.9,1.0
8048137,-38.36,44.69,50.9,1.02,0.9,50.9,1.0
8241994,-38.36,43.11,50.9,1.02,0.8,50.9,0.9
8435851,-38.36,42.58,50.9,1.02,0.8,50.9,0.9
8629708,-38.36,43.11,50.9,1.02,0.8,50.9,0.9
8823565,-38.36,44.52,50.9,1.02,0.9,50.9,1.0
9017422,-38.36,44.69,50.9,1.02,0.9,50.9,1.0
9211279,-38.36,43.99,50.9,1.02,0.9,50.9,1.0
9405136,-38.36,44.52,50.9,1.02,0.9,50.9,1.0
9598993,-38.36,44.52,50.9,1.02,0.9,50.9,1.0
9792850,-38.30,44.34,50.9,1.02,0.9,50.9,1.0
9986707,-38.36,44.16,50.9,1.02,0.9,50.9,1.0
10180564,-38.30,44.34,50.9,1.02,0.9,50.9,1.0
10374421,-38.30,46.10,50.8,1.02,0.9,50.9,1.0
10568278,-38.30,44.34,50.9,1.02,0.9,50.9,1.0
10762135,-38.30,43.99,50.9,1.02,0.9,50.9,1.0
10955992,-38.30,43.99,50.9,1.02,0.9,50.9,1.0
11149849,-38.30,44.16,50.9,1.02,0.9,50.9,1.0
11343706,-38.30,45.40,50.9,1.02,0.9,50.9,1.0
11537563,-38.30,45.92,50.8,1.02,0.9,50.9,1.0
11731420,-38.30,46.63,50.8,1.02,0.9,50.8,1.0
11925277,-38.30,45.22,50.9,1.02,0.9,50.9,1.0
12119134,-38.30,44.87,50.9,1.02,0.9,50.9,1.0
12312991,-38.30,44.16,50.9,1.02,0.9,50.9,1.0
12506848,-38.30,44.34,50.9,1.02,0.9,50.9,1.0
12700705,-38.30,44.69,50.9,1.02,0.9,50.9,1.0
12894562,-38.30,45.04,50.9,1.02,0.9,50.9,1.0
13088419,-38.30,45.92,50.8,1.02,0.9,50.9,1.0
13282276,-38.30,44.87,50.9,1.02,0.9,50.9,1.0
13476133,-38.30,46.10,50.8,1.02,0.9,50.9,1.0
13669990,-38.30,47.16,50.8,1.02,0.9,50.8,1.0
13863847,-38.30,47.16,50.8,1.02,0.9,50.8,1.0
14057704,-38.30,45.57,50.9,1.02,0.9,50.9,1.0
14251561,-38.30,44.87,50.9,1.02,0.9,50.9,1.0
14445418,-38.30,45.40,50.9,1.02,0.9,50.9,1.0
14639275,-38.30,45.40,50.9,1.02,0.9,50.9,1.0
14833132,-38.30,45.75,50.8,1.02,0.9,50.9,1.0
15026989,-38.24,45.57,50.9,1.02,0.9,50.9,1.0
15220846,-38.24,45.57,50.9,1.02,0.9,50.9,1.0
15414703,-38.24,44.69,50.9,1.02,0.9,50.9,1.0
15608560,-38.24,45.04,50.9,1.02,0.9,50.9,1.0
15802417,-38.24,46.45,50.8,1.02,0.9,50.9,1.0
15996274,-38.24,43.99,50.9,1.02,0.9,50.9,1.0
16190131,-38.24,43.28,50.9,1.02,0.9,50.9,1.0
16383988,-38.24,43.46,50.9,1.02,0.9,50.9,1.0
16577845,-38.24,43.46,50.9,1.02,0.9,50.9,1.0
16771702,-38.24,43.46,50.9,1.02,0.9,50.9,1.0
16965559,-38.24,43.99,50.9,1.02,0.9,50.9,1.0
17159416,-38.24,45.04,50.9,1.02,0.9,50.9,1.0
17353273,-38.24,44.34,50.9,1.02,0.9,50.9,1.0
17547130,-38.24,45.04,50.9,1.02,0.9,50.9,1.0
17740987,-38.24,44.69,50.9,1.02,0.9,50.9,1.0
17934844,-38.24,45.04,50.9,1.02,0.9,50.9,1.0
18128701,-38.24,46.98,50.8,1.02,0.9,50.8,1.0
18322558,-38.24,44.87,50.9,1.02,0.9,50.9,1.0
18516415,-38.24,46.80,50.8,1.02,0.9,50.8,1.0
18710272,-38.24,47.51,50.8,1.02,0.9,50.8,1.0
18904129,-38.24,46.63,50.8,1.02,0.9,50.8,1.0
19097986,-38.24,45.92,50.9,1.02,0.9,50.9,1.0
19291843,-38.24,45.40,50.9,1.02,0.9,50.9,1.0
19485700,-38.24,45.22,50.9,1.02,0.9,50.9,1.0
19679557,-38.24,44.87,50.9,1.02,0.9,50.9,1.0
19873414,-38.24,44.69,50.9,1.02,0.9,50.9,1.0
20067271,-38.24,44.16,50.9,1.02,0.9,50.9,1.0
20261128,-38.24,44.69,50.9,1.02,0.9,50.9,1.0
20454985,-38.24,46.45,50.8,1.02,0.9,50.9,1.0
20648842,-38.18,46.63,50.8,1.02,0.9,50.9,1.0
